;;;Понедельник;Вторник;Среда;Четверг;Пятница
;;;;;1 четверть;;
;;;;;5_1;;
1;9:00;9:45;Английский 411п,402п;Русский язык 208п;Русский язык 208п;Обществознание 405п;Математика 404п
2;9:55;10:40;Математика 404п;Математика 404п;ВП 307п,305п;Русский язык 208п;География 501п
3;10:50;11:35;Русский язык 208п;Биология 506п;Английский 411п,410п;Математика 404п;Русский язык 208п
4;11:45;12:30;ВП 307п,305п;История 405п;Математика 404п;Физкультура 0п;Английский 411п,507п
5;12:40;13:25;Математика 404п;Физкультура 0п;ИЗО 202п;Литература 208п;История 405п
6;13:45;14:30;Английский 411п,402п;Литература 208п;Музыка 402п;;Литература 208п
;;;;;;;
;;;;;;;
;;;;;5_2;;
1;9:00;9:45;Русский язык 208п;История 405п;ВП 307п,305п;Математика 204п;Математика 204п
2;9:55;10:40;Английский 411п,402п;Русский язык 208п;Английский 411п,410п;Физкультура 0п;Русский язык 208п
3;10:50;11:35;Математика 204п;Физкультура 0п;Математика 204п;Русский язык 208п;Английский 411п,507п
4;11:45;12:30;Английский 411п,402п;Биология 506п;Русский язык 208п;Обществознание 405п;История 405п
5;12:40;13:25;Литература 208п;Математика 204п;Музыка 402п;Математика 204п;Литература 208п
6;13:45;14:30;ВП 307п,305п;География 501п;ИЗО 202п;Литература 208п;
;;;;;;;
;;;;;;;
;;;;;5_3;;
1;9:00;9:45;ВП 307п,305п;Биология 506п;Математика 204п;ИЗО 202п;Русский язык 208п
2;9:55;10:40;Русский язык 208п;История 405п;Русский язык 208п;Математика 204п;Математика 204п
3;10:50;11:35;Английский 411п,402п;Математика 204п;ВП 307п,305п;Физкультура 0п;История 405п
4;11:45;12:30;Математика 204п;Русский язык 208п;Английский 411п,410п;Русский язык 208п;Литература 208п
5;12:40;13:25;Физкультура 0п;География 501п;Литература 208п;Обществознание 405п;Математика 204п
6;13:45;14:30;Литература 208п;;Английский 411п,410п;Музыка 402п;Английский 411п,507п
;;;;;;;
;;;;;;;
;;;;;5_4;;
1;9:00;9:45;Русский язык 203п;Русский язык 203п;Английский 411п,410п;Математика 302п;Математика 506п
2;9:55;10:40;ВП 307п,305п;Математика 402п;Музыка 402п;Обществознание 405п;История 405п
3;10:50;11:35;Математика 302п;История 405п;География 501п;ИЗО 202п;Русский язык 203п
4;11:45;12:30;Литература 304п;Литература 304п;Математика 303п;Литература 304п;Биология 506п
5;12:40;13:25;Английский 411п,402п;ВП 307п,305п;Английский 411п,410п;Математика 302п;Английский 411п,507п
6;13:45;14:30;;Русский язык 203п;Русский язык 203п;Физкультура 0п;Физкультура 0п
;;;;;;;
;;;;;;;
